Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
3,1520,51,3339185,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,163.5,4.7,Not Available,168.4,5.1
3,1538,46,3041852,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,161.9,4.3,Not Available,145.4,3.9
3,1624,1,3044209,Lutheran Social Services of NY (Leased),ACS,Not Available,160.6,4.3,Not Available,163.2,4.4
3,2014,26,3057638,Young Minds Day Care Center (Leased),ACS,Not Available,202.7,5.4,Not Available,210.8,5.7
3,2022,18,3057913,Administration Site (Leased),ACS,21,313.6,9.8,37,257.8,7.7
3,2451,8,3063507,Nuestros Ninos Child Development (Leased),ACS,Not Available,149.2,4,Not Available,154,4.1
3,3023,32,3070819,Bushwick Improvement Society Inc. (Leased),ACS,Not Available,138.4,3.6,Not Available,122.6,3.2
3,3043,1,3070967,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,75,2.2,Not Available,94.7,2.9
3,3227,10,3073394,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,131,3.4,Not Available,118.1,3.1
3,3228,20,3073408,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,135.1,4.4,Not Available,131.9,4.4
3,3259,23,3074237,Grand Street Settlement Inc.(Leased),ACS,Not Available,196.7,5.3,Not Available,159.6,4.3
3,3331,25,3076253,Lutheran Social Services of NY (Leased),ACS,Not Available,217,5.7,Not Available,195.6,5.3
3,3362,55,3076869,New Life Child Care Center (Leased),ACS,Not Available,307.5,9.6,Not Available,364.9,13
3,3433,5,3079655,Labor and Industry for Education Inc.,ACS,Not Available,122.3,3.3,Not Available,122.7,3.5
3,3448,15,3080179,Labor and Industry for Education Inc. (Leased),ACS,Not Available,82,2.7,Not Available,83.2,2.8
3,3498,8,3378202,Crossroads Juvenile Center,ACS,Not Available,152.8,4.6,Not Available,182.9,6
3,3531,23,3081165,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,124.1,3.6,Not Available,165.6,5
3,3568,1,3326658,SCO Family of Services (Leased),ACS,Not Available,233.5,6.1,Not Available,170.4,4.5
3,3803,46,3342526,University Settlement Society of New York Inc. (Leased),ACS,Not Available,173.2,4.5,Not Available,170,4.5
3,3805,26,3084628,Police Athletic League Inc. (Leased),ACS,Not Available,162.3,4.3,Not Available,171.8,4.6
3,3976,70,3088473,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,149.1,3.9,Not Available,113.7,3
3,4006,37,3089020,Friends of Crown Heights Educational Center Inc.(Leased),ACS,Not Available,158.2,4.1,Not Available,157.7,4.2
3,4039,1,3089620,Urban Strategies Day Care Center (Leased),ACS,Not Available,179.4,4.6,Not Available,157.6,4.2
3,4089,25,3090717,United Community Day Care Center Inc. (Leased),ACS,Not Available,294.6,9.9,Not Available,303.3,10.1
3,4298,7,3096389,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,128.3,4.3,Not Available,105.9,3.8
3,4315,40,3097095,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,210.1,5.5,Not Available,212.5,5.7
3,4457,1,3098472,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,184.3,6.3,Not Available,191.6,7.1
3,5049,1,3115846,Episcopal Social Services of NY (Leased),ACS,Not Available,212.2,5.5,Not Available,109.5,2.9
3,7065,1,3189617,YWCA of the City of New York (Leased),ACS,Not Available,161.2,4.8,Not Available,154.4,4.9
4,386,7,4004679,Catholic Charities Neighborhood Services Inc. (Leased),ACS,Not Available,119.8,4,Not Available,115.6,3.8
4,1669,38,4041534,SCO Family of Services (Leased),ACS,Not Available,218.1,5.8,Not Available,239.7,6.5
4,1726,5,4042862,Episcopal Social Services of NY (Leased),ACS,Not Available,184.1,4.8,Not Available,171.5,4.5
4,1749,7,4043525,The Child Center of NY Inc.(Leased),ACS,Not Available,158.9,4.2,Not Available,150.6,4
4,10021,1,4214446,Clifford Glover Day Care Center Inc. (Leased),ACS,Not Available,146.3,3.8,Not Available,149.7,4
4,10155,29,4216225,Dual Center ACS Administrative Site (Leased),ACS,74,179.4,5.1,28,214.4,6.3
4,10193,1,4216947,All My Children Daycare and Nursery School (Leased),ACS,Not Available,136,3.7,Not Available,104.5,3.1
4,10917,29,4233644,Charles R Drew Early Learning Center (Leased),ACS,Not Available,182.7,5,Not Available,179.6,4.9
4,10941,206,4234212,Blanche Day Care Center,ACS,Not Available,162.8,5.6,Not Available,215,7.8
4,12022,20,4260903,All My Children Daycare and Nursery School (Leased),ACS,Not Available,192.1,5.2,Not Available,167.1,4.5
4,12039,44,4261337,Omega PSI PHI Fraternity NU-Omicron Chapter ECEC (Leased),ACS,Not Available,214.3,5.7,Not Available,214.8,5.8
4,12062,51,4261925,Alpha Kappa Alpha Sorority Child Care Center (Leased),ACS,Not Available,144.5,3.7,Not Available,151.9,4
4,12599,8,4271346,Babove Worldwide Institute Inc. (Leased),ACS,Not Available,137.5,5.4,Not Available,123.7,4.2
5,174,6,5004830,Childrens Aide Society Inc.,ACS,Not Available,198.8,6.2,Not Available,158.6,4.8
3,583,1,3008671,Board of Elections (Leased),BOENY,96,25.8,0.7,100,6,0.2
3,239,16,3001939,Brooklyn Heights Branch and Business Library,BPL,Not Available,177.3,5.2,Not Available,137.9,4.6
3,338,33,3004336,Carroll Gardens Branch Library,BPL,Not Available,129.2,4.2,Not Available,147.9,5.5
3,798,34,3013507,Sunset Park Branch Library,BPL,Not Available,241.1,7.4,Not Available,240.6,7.7
3,928,6,3018376,Pacific Branch Library,BPL,Not Available,185.8,5.7,Not Available,165.1,6.1
3,1006,1,3022144,Park Slope Branch Library,BPL,Not Available,92.2,3.2,Not Available,189.5,6.7
3,1183,2,3029665,Central Library and Learning Center,BPL,Not Available,187.3,5.5,Not Available,168.6,5.1
3,1396,6,3037543,Eastern Parkway Branch Library and Learning Center,BPL,Not Available,240.3,7.9,Not Available,262.7,8.6
4,9691,1,4207071,Queens Supreme Court,DCAS,74,191.4,6.5,81,161.4,5.6
3,1498,35,3040218,Saratoga Branch Library,BPL,Not Available,233.8,6.9,Not Available,196.2,5.7
3,1665,1,3046408,Macon Branch Library,BPL,Not Available,234.3,7.7,Not Available,248.4,8.3
3,1997,32,3057384,Bedford Branch Library and Learning Center,BPL,Not Available,184.4,5.7,Not Available,171,5.7
3,2189,1,3060090,Williamsburg Branch Library,BPL,Not Available,151.7,5.1,Not Available,134.8,4.9
3,2762,21,3068818,Leonard Branch Library,BPL,Not Available,241.7,7.3,Not Available,176.7,5.7
3,3098,19,3071470,Bushwick Branch Library,BPL,Not Available,190.3,5.7,Not Available,148.3,5.3
3,3241,18,3073751,DeKalb Branch Library,BPL,Not Available,186,6,Not Available,171.1,5.9
3,3489,150,3080669,Brownsville Branch Library,BPL,Not Available,202.8,6.1,Not Available,185.4,6
3,3794,18,3084596,Stone Avenue Branch Library,BPL,Not Available,153.8,4.6,Not Available,197.2,6.9
3,3923,52,3087001,Arlington Branch Library,BPL,Not Available,185.8,5.8,Not Available,173.5,5.9
3,4090,1,3090726,New Lots Branch Library,BPL,Not Available,155.1,4.9,Not Available,234.8,7.3
3,4717,38,3103597,East Flatbush Branch Library,BPL,Not Available,204.3,5.9,Not Available,179.8,5.6
3,4791,46,3106505,Crown Heights Branch Library (Leased),BPL,Not Available,178,5,Not Available,165.1,5.1
3,5086,15,3116706,Flatbush Branch Library and Learning Center,BPL,Not Available,245.3,8,Not Available,203.7,6.9
3,5416,14,3127572,Kensington Branch Library,BPL,Not Available,102,3.2,Not Available,291,9.4
3,5518,4,3132091,Mapleton Branch Library,BPL,Not Available,211.9,6.2,Not Available,231.5,7
3,5598,48,3135907,Borough Park Branch Library,BPL,Not Available,123.8,3.2,Not Available,136.8,4.8
3,5907,1,3147279,Bay Ridge Branch Library,BPL,Not Available,228.9,6.7,Not Available,206.3,6.2
3,6302,36,3164019,Dyker Branch Library,BPL,Not Available,223.1,7.1,Not Available,189.8,5.9
